X,Y,Z,R
0.0,0.7278677282465474,-4.897680091961457,1.7
0.0,-0.7278682305072054,-4.897680171366098,1.7
0.0,1.409435685039376,-6.161417172018248,1.7
0.0,-1.409436107100296,-6.161417283674989,1.7
0.0,0.7167235981989358,-7.333228414577844,1.7
0.0,-0.7167239533188065,-7.33322848866254,1.7
0.0,1.4073193286377894,-3.6920011594159567,1.7
0.0,0.7289962672216342,-2.4495551968921156,1.7
0.0,-1.4073198788759758,-3.6920012693549857,1.7
0.0,-0.7289968910429753,-2.4495552503725992,1.7
0.0,2.494444715981619,-6.1612307555387735,1.2
0.0,2.4930350840566744,-3.692792897648752,1.2
0.0,-2.493033804650779,-3.6927930090335046,1.2
0.0,-2.4944443856533782,-6.161230961335141,1.2
0.0,-1.2455052013280357,-8.279654342097315,1.2
0.0,1.2455049105203535,-8.279654223251057,1.2
0.0,1.4081511554768886,-1.2301732202550624,1.7
0.0,0.7295693803835008,1.7881371413989887e-07,1.7
0.0,-1.4081517905381007,-1.2301732495905713,1.7
0.0,-0.7295700260819262,1.8109080358003738e-07,1.7
0.0,2.4937437278984476,-1.2304759755057113,1.2
0.0,-2.4937415674156234,-1.2304760688517706,1.2
0.0,1.4081511692766975,1.2301730381923925,1.7
0.0,0.7289962374397658,2.4495555668779883,1.7
0.0,-1.4081518276324605,1.230173061762495,1.7
0.0,-0.7289968855136666,2.4495556147936157,1.7
0.0,2.493743744871268,1.2304760119450724,1.2
0.0,-2.49374159682834,1.2304760498041274,1.2
0.0,1.4073193119055543,3.69200097615082,1.7
0.0,0.7278676251956173,4.897680411866163,1.7
0.0,-1.407319904385017,3.692001076612763,1.7
0.0,-0.727868158039782,4.897680498942175,1.7
0.0,2.493035126204863,3.6927929380211597,1.2
0.0,-2.4930338891727493,3.6927930973503704,1.2
0.0,1.4094355178322007,6.161417011573284,1.7
0.0,0.7167233434831977,7.333228511263103,1.7
0.0,-1.4094359478804102,6.161417145380558,1.7
0.0,-0.7167236931188723,7.333228579321645,1.7
0.0,2.494444496912617,6.161230937156214,1.2
0.0,1.2455046832075334,8.279653594587764,1.2
0.0,-1.2455049206275421,8.279653596485504,1.2
0.0,-2.4944441782791587,6.161231123412838,1.2
