cx,cy,cz,a,b,theta,Rt,Rp,status
-2,-1,13.5,7.2,6,25,0,0,InProgress
-2,-0.9,13.4,7.2,6,25,0,0,InProgress
-2,-0.8,13.4,7.2,6,25,0,0,InProgress
-2,-0.7,13.3,7.2,6,25,0,0,InProgress
-2,-0.6,13.2,7.2,6,25,0,0,InProgress
-2,-0.5,13.2,7.2,6,25,0,0,InProgress
-2,-0.4,13.2,7.2,6,25,0,0,InProgress
-2,-0.3,13.2,7.2,6,25,0,0,InProgress
-2,-0.2,13.2,7.2,6,25,0,0,InProgress
-2,-0.1,13.2,7.2,6,25,0,0,InProgress
-2,0,13.2,7.2,6,25,0,0,InProgress
-1.9,-1,13.5,7.2,6,25,0,0,InProgress
-1.9,-0.9,13.4,7.2,6,25,0,0,InProgress
-1.9,-0.8,13.4,7.2,6,25,0,0,InProgress
-1.9,-0.7,13.3,7.2,6,25,0,0,InProgress
-1.9,-0.6,13.2,7.2,6,25,0,0,InProgress
-1.9,-0.5,13.2,7.2,6,25,0,0,InProgress
-1.9,-0.4,13.2,7.2,6,25,0,0,InProgress
-1.9,-0.3,13.2,7.2,6,25,0,0,InProgress
-1.9,-0.2,13.2,7.2,6,25,0,0,InProgress
-1.9,-0.1,13.2,7.2,6,25,0,0,InProgress
-1.9,0,13.2,7.2,6,25,0,0,InProgress
-1.8,-1,13.5,7.2,6,25,0,0,InProgress
-1.8,-0.9,13.4,7.2,6,25,0,0,InProgress
-1.8,-0.8,13.4,7.2,6,25,0,0,InProgress
-1.8,-0.7,13.3,7.2,6,25,0,0,InProgress
-1.8,-0.6,13.2,7.2,6,25,0,0,InProgress
-1.8,-0.5,13.2,7.2,6,25,0,0,InProgress
-1.8,-0.4,13.2,7.2,6,25,0,0,InProgress
-1.8,-0.3,13.2,7.2,6,25,0,0,InProgress
-1.8,-0.2,13.2,7.2,6,25,0,0,InProgress
-1.8,-0.1,13.2,7.2,6,25,0,0,InProgress
-1.8,0,13.2,7.2,6,25,0,0,InProgress
-1.7,-1,13.5,7.2,6,25,0,0,InProgress
-1.7,-0.9,13.4,7.2,6,25,0,0,InProgress
-1.7,-0.8,13.4,7.2,6,25,0,0,InProgress
-1.7,-0.7,13.3,7.2,6,25,0,0,InProgress
-1.7,-0.6,13.2,7.2,6,25,0,0,InProgress
-1.7,-0.5,13.2,7.2,6,25,0,0,InProgress
-1.7,-0.4,13.2,7.2,6,25,0,0,InProgress
-1.7,-0.3,13.2,7.2,6,25,0,0,InProgress
-1.7,-0.2,13.2,7.2,6,25,0,0,InProgress
-1.7,-0.1,13.2,7.2,6,25,0,0,InProgress
-1.7,0,13.2,7.2,6,25,0,0,InProgress
